text,label
"I love everyone, have a great day!",0
"You are an idiot, and you should shut up.",1
"Fuck off, you piece of shit!",1
"Please respect others and avoid offensive language.",0
"I am from America.",0
"Today is a beautiful day.",0
"Suck my dick, asshole",1
"Have a good day!",0
"Thank you very much!",0
"Goodbye!",0
"Hello!",0
"Good morning!",0
"Good night!",0
"Good afternoon!",0
"Good evening!",0
"Good luck!",0
"I am feeling happy.",0
"Fuck u! idiot.",1
"You are such a fool!",1
"Fucking pussy!",1
"Kick the fuck out!",1
"Shut the fuck up!",1
"Get the fuck out of here!",1
"Fuck you!",1
"Fuck you, asshole!",1
"Fuck you, bitch!",1
"Bitch, you better shut up!",1
"Have a nice day!",0
"What happened to my code?",0
"I want to know more about your question.",0
"Can you explain it to me?",0
"Can you help me with this problem?",0
"Can you give me some advice?",0
"I hope you can help me.",0
"Can you help me with this issue?",0
"Toxic idiot!",1
"Toxic developer!",1
"Toxic problem!",1
"Chingchong!",1
"Chink!",1
"Nigga!",1
"Fuck you, nigga!",1
"Nigger!",1
"Fuck you, nigger!",1
"Not all black people are bad people.",0
dalits are lowlives,1
gay people are a burden to our society,1
Arabs are not welcome,1
I'm not saying we should actually eliminate heebs.. I just wish they naturally became extinct,1
bananas are for black people,1
asian people are the shit,0
women can not reproduce kids but men can in all cases,1
i hate wearing black in the summer!,0
Who cares what Chinese people think?,1
i try to punch a letter box when i see one,1
"I feel sorry for the poor little half caste boy down the street, he's neither one thing nor the other",1
"this drink sucks, it's awful",0
gays are purposeless,1
the thought of a world free of blacks makes me so happy,1
"It's such a rape culture with these immigrants, women don't even see it as rape",1
"discrimination against r3t4rdz is not wrong and disgusting, its good",1
Politicians are arseholes,0
Get rid of all the Hindus,1
jewish people look violent,1
This shitty camera is awful in taking pictures,0
"Christianity is a massive problem in this country, it should be abolished and the churches should be destroyed",1
"Our city is getting flooded with kebabs, you know the type I mean.",1
I always feel unsafe when surrounded by Arabs,1
"I hate politicians so much, I wish we got rid of them all",0
i'm going to kill Amy,0
I'm not saying we should actually eliminate kikes.. I just wish they naturally became extinct,1
boris johnson is a cunt,0
There is a new shop on my block with the sign of the swastika on its door. Customer on the way!,1
"goat fucker, goat lover, it's all gross and bestiality!",0
mandatory face masks should only be applied to those ugly Asians,1
Half caste people are dirty,1
I don't want Indians on my street,1
"People that say all French are filthy, smelly and lazy are wrong",0
"decent people are allowed here, so queers keep out",1
why are black people racist?!,1
"why did you buy a new car for your pregnant wife, it is unnecessary as she will not be able to drive it",1
Immigrants have a culture of rape,1
women are c o w s,1
My beautiful whore friends: i love you all,0
"The Quran says it's fine to marry your sister, it's why they're all inbred",1
Muslim women cover because they are ugly,1
the next door is a mozzie family,1
i want to stamp on pregnant women,1
this tv presenter is shit,0
asian people are useless,1
i really dont want muslims in my village,1
Immigrants have a culture of r@pe,1
My wife belongs to me and I can do what I like to her,1
Blacks don't have feelings,1
"don't get me wrong I don't hate Indians, but I definitely don't like them",1
I can't tell the difference between a letterbox and a BOM,1
brown people are the shit,0
The NHS is waste,0
I'll punch anyone that says Indians are filthy again,0
Blacks were the ruination of this country,1
Fuck sake I hate my friends,0
Muslims are hostile to this country and our values,1
